record_id,reported_date,brand,sector,action_type,campaign_or_action,primary_objective,occasion_context,geography_focus,celebrity_or_creator,talent_used,primary_channel,creative_strategy,ai_data_angle,funnel_stage,source_publication,source_url,coding_confidence,notes,occasion_flag,regional_localization,month,week_start
ICG-001,2026-06-01,Reliance Digital,Consumer Electronics Retail,Campaign Launch,Boot Up 2026,Build awareness around AI-ready devices and omnichannel retail,None,India,None stated,0,Integrated / Omnichannel,Technology-led proposition; retail + digital accessibility,1,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-06-01.html,High,,0,0,2026-06,2026-06-01
ICG-002,2026-06-02,Mother's Recipe,FMCG - Food,Campaign + Packaging Refresh,National pickle identity refresh,Refresh brand identity while linking regional pickle traditions with family emotion,None,India,None stated,0,Integrated,Regional culture + emotional family storytelling,0,Awareness,Campaign India,https://www.campaignindia.in/news/regional,High,,0,0,2026-06,2026-06-02
ICG-003,2026-06-05,PayNearby Saathi,Fintech,Campaign Launch,Trust-led digital finance adoption campaign,Build trust in digital-finance adoption through retailers and everyday habits,None,Bharat / India,None stated,0,Not stated,"Trust, retailer advocacy and behavioural insight",0,Consideration,Campaign India,https://www.campaignindia.in/news/regional,High,,0,0,2026-06,2026-06-05
ICG-004,2026-06-08,Mother Dairy,FMCG - Dairy,Sustainability Campaign,World Environment Day degradable-packaging communication,Turn packaging innovation into a visible sustainability message,World Environment Day,India,None stated,0,Packaging / Integrated,Sustainability proof through product packaging,0,Awareness,Campaign India,https://www.campaignindia.in/news/regional,High,,1,0,2026-06,2026-06-08
ICG-005,2026-06-08,Pernod Ricard India,Beverages,Media Agency Review,Media agency review,Reassess media planning and buying partnership at large marketing scale,None,India,None stated,0,Paid Media,Media operating-model review,0,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-06-08.html,High,Reported marketing spend was cited in the source archive.,0,0,2026-06,2026-06-08
ICG-006,2026-06-08,Nestlé,FMCG - Food & Beverage,Marketing Investment Shift,Higher marketing investment with social-first brand building,Increase brand-building intensity and shift toward social-first execution,None,Global / India-relevant,None stated,0,Digital / Social,Social-first brand building,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-06-08.html,Medium,Strategic investment signal rather than a single named campaign.,0,0,2026-06,2026-06-08
ICG-007,2026-06-10,Spinny,Auto Marketplace,Regional Campaign,God Promise expansion to Tamil Nadu,Localise a trust-led used-car proposition for a regional market,None,Tamil Nadu,Sachin Tendulkar,1,Integrated,Localization + celebrity credibility + trust,0,Consideration,Campaign India,https://www.campaignindia.in/news/regional,High,,0,1,2026-06,2026-06-10
ICG-008,2026-06-15,Dr. Reddy's,Healthcare / Pharma,Digital Agency Mandate,HiveMinds digital mandate,Strengthen digital marketing execution,None,India,None stated,0,Digital,Specialist digital-agency partnership,0,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-06-15.html,High,,0,0,2026-06,2026-06-15
ICG-009,2026-06-18,ZEE5,Media & Entertainment,Cause-linked Sports Initiative,15% of football subscription revenue directed to grassroots development,Connect subscription growth with football development and purpose,FIFA / Football,India,None stated,0,Digital / Streaming,Purpose-linked sports marketing,0,Conversion,Exchange4media,https://www.exchange4media.com/articles/2026-06-18.html,High,,1,0,2026-06,2026-06-18
ICG-010,2026-06-18,Mirror Now,News Media,Rebrand / Relaunch,Mirror Now relaunch,Refresh channel identity and content philosophy,None,India,None stated,0,TV / Digital,Brand identity reset,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-06-18.html,High,,0,0,2026-06,2026-06-18
ICG-011,2026-06-29,Del Monte,FMCG - Food,Creative Agency Mandate,Creativeland Asia creative mandate,Refresh or scale creative brand communication,None,India,None stated,0,Creative / Integrated,Agency-led creative development,0,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-06-29.html,High,,0,0,2026-06,2026-06-29
ICG-012,2026-06-29,Vande Bharatam,Culture / Entertainment,Brand Ambassador / Host,Rajeev Khandelwal appointed ambassador and host,Use a known public figure to amplify programme milestones and engagement,None,India,Rajeev Khandelwal,1,Events / Content,Ambassador-led engagement,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-06-29.html,High,,0,0,2026-06,2026-06-29
ICG-013,2026-07-02,Lotte India,FMCG - Confectionery,Creative Agency Mandate,Dentsu Creative wins creative mandate,Build and execute creative brand communication,None,India,None stated,0,Creative / Integrated,Agency partnership,0,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-07-02.html,High,,0,0,2026-07,2026-07-02
ICG-014,2026-07-02,Riceberg Ventures,Venture Capital,PR Mandate,PR Companion wins communications mandate,"Increase visibility across startup, investor and innovation ecosystems",None,India / Global,None stated,0,PR / Earned Media,Thought leadership + corporate visibility,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-02.html,High,,0,0,2026-07,2026-07-02
ICG-015,2026-07-09,Mathrubhumi,Media,Festive Campaign,Two-version Onam campaign,Build cultural relevance through two distinct interpretations of Onam,Onam,Kerala,None stated,0,Integrated,Regional culture + ritual storytelling,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-09.html,High,,1,1,2026-07,2026-07-09
ICG-016,2026-07-13,Hero MotoCorp,Automotive,Brand Film,Family ride through a child's imagination,Humanise mobility through family emotion and imaginative storytelling,None,India,None stated,0,Film / Digital / TV,Emotional family storytelling,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-13.html,High,,0,0,2026-07,2026-07-13
ICG-017,2026-07-16,Prime Video + Amazon MX Player,Streaming / AdTech,Advertising Product Launch,Unified advertising options,Make cross-platform buying easier with shoppable and sponsorship formats,None,India,None stated,0,Streaming / Digital,Commerce-enabled media products,1,Conversion,Exchange4media,https://www.exchange4media.com/articles/2026-07-16.html,High,,0,0,2026-07,2026-07-16
ICG-018,2026-07-20,Stoa Paris,Home / Interior,Brand Ambassador,Karan Johar onboarded as brand ambassador,Build premium lifestyle associations around expressive living,None,India,Karan Johar,1,Integrated,Celebrity + lifestyle positioning,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-20.html,High,,0,0,2026-07,2026-07-20
ICG-019,2026-07-24,Swiggy Instamart,Quick Commerce,Data-led PR Campaign,How India Instamarted,Turn consumer-behaviour data into highly shareable brand stories,None,India,None stated,0,PR / Earned / Social,Data storytelling + earned-media design,1,Awareness,ET BrandEquity,https://brandequity.economictimes.indiatimes.com/news/marketing/marketing-matters-instamarts-lessons-on-delivering-a-data-led-campaign/132595429,High,,0,0,2026-07,2026-07-24
ICG-020,2026-07-27,POND'S,Beauty / Personal Care,Campaign Revival,Googly Woogly Wooksh revival,Reactivate distinctive brand memory and creative equity,None,India,None stated,0,Integrated,Nostalgia + distinctive brand asset revival,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-07-27.html,High,,0,0,2026-07,2026-07-27
ICG-021,2026-07-27,Paytm,Fintech,Marketing Investment Increase,Marketing spend increased 27%,Accelerate consumer and merchant expansion,None,India,None stated,0,Integrated,Growth investment,0,Acquisition,Exchange4media,https://www.exchange4media.com/articles/2026-07-27.html,High,Financial/strategy signal rather than one named campaign.,0,0,2026-07,2026-07-27
ICG-022,2026-07-27,Go Zero,Food / D2C,Creator Strategy Shift,Influencer budget shut; in-house creator model adopted,Improve measurability and owned-content efficiency,None,India,In-house creators,1,Social / Creator,Shift from rented influence to owned creator capability,1,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-07-27.html,High,,0,0,2026-07,2026-07-27
ICG-023,2026-07-27,Canon India,Consumer Electronics,Digital & E-commerce Mandate,Dentsu Creative Isobar wins digital and e-commerce mandate,Strengthen digital commerce and brand execution,None,India,None stated,0,Digital / E-commerce,Integrated digital commerce management,1,Conversion,Exchange4media,https://www.exchange4media.com/articles/2026-07-27.html,High,,0,0,2026-07,2026-07-27
ICG-024,2026-07-30,ThinkResult + PubMatic,AdTech,Programmatic Campaign,Agentic CTV campaign via AgenticOS,Demonstrate faster setup and media efficiency using agentic technology,None,India,None stated,0,CTV / Programmatic,AI-enabled campaign operations,1,Performance,Exchange4media,https://www.exchange4media.com/articles/2026-07-30.html,High,,0,0,2026-07,2026-07-30
ICG-025,2026-07-30,KFC India,QSR,Community / Creator Campaign,Double Chicken Dynamite with PlayAce,Place product inside authentic Gen Z social settings,None,India,PlayAce community creators,1,Social / Community,Community-first content rather than conventional commercials,0,Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-07-30.html,High,,0,0,2026-07,2026-07-30
ICG-026,2026-08-03,Welspun,Home Textiles,Sports Partnership / PR,Wimbledon association amplification,Use a credible global sports association to tell a manufacturing and brand story,Wimbledon,India / Global,None stated,0,PR / Partnership,Authenticity through sports partnership,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-08-03.html,High,,1,0,2026-08,2026-08-03
ICG-027,2026-08-03,CenturyPly,Building Materials,Product / Warranty Launch,Total Cover warranty,Differentiate the plywood offer through a broader warranty proposition,None,India,None stated,0,Integrated,Risk-reduction product proposition,0,Consideration,Exchange4media,https://www.exchange4media.com/articles/2026-08-03.html,High,,0,0,2026-08,2026-08-03
ICG-028,2026-08-03,SharkNinja,Consumer Appliances,Integrated Media Mandate,WPP Media / Wavemaker appointed in India,Build end-to-end media strategy across digital and offline,None,India,None stated,0,Integrated Media,Unified media planning and investment,1,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-08-03.html,High,,0,0,2026-08,2026-08-03
