record_id,reported_date,brand,sector,action_type,campaign_or_action,primary_objective,occasion_context,geography_focus,celebrity_or_creator,talent_used,primary_channel,creative_strategy,ai_data_angle,funnel_stage,source_publication,source_url,coding_confidence,notes,occasion_flag,regional_localization,month,week_start,sector_group,reported_month,lower_funnel_flag,talent_label,occasion_label
ICG-001,2026-06-01,Reliance Digital,Consumer Electronics Retail,Campaign Launch,Boot Up 2026,Build awareness around AI-ready devices and omnichannel retail,,India,None stated,0,Integrated / Omnichannel,Technology-led proposition; retail + digital accessibility,1,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-06-01.html,High,,0,0,2026-06,2026-06-01,Retail & Commerce,2026-06,0,No named talent stated,Not occasion-linked
ICG-002,2026-06-02,Mother's Recipe,FMCG - Food,Campaign + Packaging Refresh,National pickle identity refresh,Refresh brand identity while linking regional pickle traditions with family emotion,,India,None stated,0,Integrated,Regional culture + emotional family storytelling,0,Awareness,Campaign India,https://www.campaignindia.in/news/regional,High,,0,0,2026-06,2026-06-02,FMCG / Food & Beverage,2026-06,0,No named talent stated,Not occasion-linked
ICG-003,2026-06-05,PayNearby Saathi,Fintech,Campaign Launch,Trust-led digital finance adoption campaign,Build trust in digital-finance adoption through retailers and everyday habits,,Bharat / India,None stated,0,Not stated,"Trust, retailer advocacy and behavioural insight",0,Consideration,Campaign India,https://www.campaignindia.in/news/regional,High,,0,0,2026-06,2026-06-05,Financial Services,2026-06,0,No named talent stated,Not occasion-linked
ICG-004,2026-06-08,Mother Dairy,FMCG - Dairy,Sustainability Campaign,World Environment Day degradable-packaging communication,Turn packaging innovation into a visible sustainability message,World Environment Day,India,None stated,0,Packaging / Integrated,Sustainability proof through product packaging,0,Awareness,Campaign India,https://www.campaignindia.in/news/regional,High,,1,0,2026-06,2026-06-08,FMCG / Food & Beverage,2026-06,0,No named talent stated,Occasion-linked
ICG-005,2026-06-08,Pernod Ricard India,Beverages,Media Agency Review,Media agency review,Reassess media planning and buying partnership at large marketing scale,,India,None stated,0,Paid Media,Media operating-model review,0,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-06-08.html,High,Reported marketing spend was cited in the source archive.,0,0,2026-06,2026-06-08,FMCG / Food & Beverage,2026-06,0,No named talent stated,Not occasion-linked
ICG-006,2026-06-08,Nestlé,FMCG - Food & Beverage,Marketing Investment Shift,Higher marketing investment with social-first brand building,Increase brand-building intensity and shift toward social-first execution,,Global / India-relevant,None stated,0,Digital / Social,Social-first brand building,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-06-08.html,Medium,Strategic investment signal rather than a single named campaign.,0,0,2026-06,2026-06-08,FMCG / Food & Beverage,2026-06,0,No named talent stated,Not occasion-linked
ICG-007,2026-06-10,Spinny,Auto Marketplace,Regional Campaign,God Promise expansion to Tamil Nadu,Localise a trust-led used-car proposition for a regional market,,Tamil Nadu,Sachin Tendulkar,1,Integrated,Localization + celebrity credibility + trust,0,Consideration,Campaign India,https://www.campaignindia.in/news/regional,High,,0,1,2026-06,2026-06-10,Automotive & Mobility,2026-06,0,Named talent used,Not occasion-linked
ICG-008,2026-06-15,Dr. Reddy's,Healthcare / Pharma,Digital Agency Mandate,HiveMinds digital mandate,Strengthen digital marketing execution,,India,None stated,0,Digital,Specialist digital-agency partnership,0,Strategy,Exchange4media,https://www.exchange4media.com/articles/2026-06-15.html,High,,0,0,2026-06,2026-06-15,Healthcare,2026-06,0,No named talent stated,Not occasion-linked
ICG-009,2026-06-18,ZEE5,Media & Entertainment,Cause-linked Sports Initiative,15% of football subscription revenue directed to grassroots development,Connect subscription growth with football development and purpose,FIFA / Football,India,None stated,0,Digital / Streaming,Purpose-linked sports marketing,0,Conversion,Exchange4media,https://www.exchange4media.com/articles/2026-06-18.html,High,,1,0,2026-06,2026-06-18,Technology & Electronics,2026-06,1,No named talent stated,Occasion-linked
ICG-010,2026-06-18,Mirror Now,News Media,Rebrand / Relaunch,Mirror Now relaunch,Refresh channel identity and content philosophy,,India,None stated,0,TV / Digital,Brand identity reset,0,Awareness,Exchange4media,https://www.exchange4media.com/articles/2026-06-18.html,High,,0,0,2026-06,2026-06-18,Media & Entertainment,2026-06,0,No named talent stated,Not occasion-linked
